Synergy Fit,333 Passaic Ave #3,"Fairfield,",NJ,07004
Tabata Ultimate Fitness,623 Bergen Street,"Brooklyn,",NY,11238
Taylored Fitness,30-16 Steinway St,"Astoria,",NY,11106
Tennis In Manhattan,Multiple Locations - 1725 York Avenue 3G (See Class Titles),"New York,",NY,10128
Tennis World NYC,"1380 Riverside Dr, Manhattan, NY 10033","New York City,",NY,10001
The Bar Method - Cobble Hill,267 Pacific Street,"Brooklyn,",NY,11201
The Bar Method - Fairfield,85 Mill Plain Road Ste. V,"Fairfield,",CT,06824
The Bar Method - Hoboken,86 River Street,"Hoboken,",NJ,07030
The Bar Method - Williamsburg,97 North 10th Street Suite 2B,"Brooklyn,",NY,11249
The Fit Co,"39 West 56th Street, 4th Floor","New York,",NY,10019
The Happie House,30-05 35th Street 2F,"Astoria,",NY,11103
The Kickbox Haus NYC,227 East 81st Street,"New York,",NY,10028
The Muse,350 Moffat St.,"Brooklyn,",NY,11237
The Muse Gowanus,303 3rd Avenue,"Brooklyn,",NY,11215
The P.E. Club,"238 E. 75th Street, 1st Floor","New York,",NY,10021
The People's Bootcamp,939 8th Ave,"New York,",NY,10019
The Studio at Primary,26 Broadway 8th Floor,"New York,",NY,10004
The Studio at Primary Penn Station,251 West 30th Street Cellar Space (Downstairs),"New York,",NY,10001
The Studios at Pine Brook Fitness,130 Rhodes Street,"New Rochelle,",NY,10801
Thrive Fitness and Body Soul and Pole,333 Newark Street Neumann Building,"Hoboken,",NJ,07030
TITLE Boxing Club - Flatiron,"15 West 18th Street, 2nd Floor","New York,",NY,10011
TITLE Boxing Club - Midtown East,900 3rd Avenue,"New York,",NY,10022
TITLE Boxing Club - Midtown West,455 W. 37th Street,"New York,",NY,10018
Tone,"32-12 Broadway, 2nd Floor","Astoria,",NY,11106
TotalFusion,347 Halstead Avenue,"Harrison,",NY,10528
trampoLEAN,"Stepping Out Studios - 37 W 26th St, 9th Floor","New York,",NY,10010
TransformGST,"133 East 58th Street, Suite 902","New York,",NY,10022
TS Fitness,328 East 61st Street,"New York,",NY,10065
UFC Gym - SOHO,"277 Canal Street, 3rd Floor","New York,",NY,10013
unit 108 yoga,760 5th Avenue 2nd fl.,"Brooklyn,",NY,11232
Upper East Side Fitness (UESFITNESS),1566 2nd Avenue,"New York,",NY,10028
Uptown Pilates - Midtown,"124 East 57th Street, 2nd Floor","New York,",NY,10022
Uptown Pilates - Sag Harbor,23 Bridge Street,"Sag Harbor,",NY,11963
Uptown Pilates - Upper West Side,136 West 72nd Street 2nd Floor,"New York,",NY,10023
Uptown Pilates - West Village,404 6th Avenue 2nd Floor,"New York,",NY,10011
VERAYOGA,"406 Broadway, Level 3","New York,",NY,10013
Vigorous Fitness Clubs,79-32 Metropolitan Ave,"Middle Village,",NY,11379
Vita Athletics,320 Springfield Avenue,"Summit,",NJ,07901
WALK2FIT,4 Grayrock Road,"Scarsdale,",NY,10583
Warrior Bridge,250 Front St,"New York,",NY,10038
Warrior Fitness Boot Camp,240 Wythe Ave Lower Level,"Brooklyn,",NY,11249
Westchester Yoga Arts,49A Lawton Street,"New Rochelle,",NY,10801
WillyB Crossfit,41 Meserole St,"Brooklyn,",NY,11206
Women's World of Boxing,2147 2nd Avenue,"New York,",NY,10029
Work Train Fight,"636 Broadway, 2nd Floor","New York,",NY,10012
WRKNYC,51 East 34th Street,"New York,",NY,10016
WundaBar Pilates,21 Thompson Street Suite B,"New York,",NY,10013
WundaBar Pilates - Upper East Side,245 East 78th Street,"New York,",NY,10075
Xtend Barre Brooklyn Heights,147 Remsen Street 2nd Fl,"Brooklyn,",NY,11201
XTEND Tribeca,80 Warren Street,"New York,",NY,10007
YO BK - Greenpoint,607 Manhattan Avenue Ground Floor,"Brooklyn,",NY,11222
YO BK - Williamsburg,20 Broadway Ground Floor,"Brooklyn,",NY,11249
Yoga Agora,"33-02 Broadway, 2nd Floor","Astoria,",NY,11106
Yoga Pole,"43 Schermerhorn, #2","Brooklyn,",NY,11201
YogaSpark Tribeca,158 Duane Street,"New York,",NY,10013
Yoga Spot,1957 Coney Island Ave,"Brooklyn,",NY,11223
Yoga Vida - 666 Broadway,"666 Broadway at Bond St, 3rd Floor","New York,",NY,10012
Yoga Vida - 99 University,"99 University Place at 12th St, 6th Floor","New York,",NY,10003
Yoga Vida - Dumbo,55 Prospect Street,"Brooklyn,",NY,11201
Yoga Vida - Tribeca,"416 Washington St., Retail Unit 2 (Enter on Vestry)","New York,",NY,10013
Yo Yoga!,"344 E 59th St, 3rd Floor","New York,",NY,10022
Yva Yoga,"285 Willoughby Ave, 2nd floor","Brooklyn,",NY,11205
Zapp Fitness,87 Dorsa Avenue Suite 3,"Livingston,",NJ,07039
Z Club NY - FiDi,10 Hanover Square,"New York,",NY,10005
Z Club NY - Studio 26,"25 West 31st Street, 2nd Floor","New York,",NY,10001
Z Club NY - Studio E57,301 east 57th street,"New York, NY,",NY,10022
Z Club NY - Studio SOHO,227 Mulberry Street at GYM NYC,"New York,",NY,10012
Z Club NY - Studio W68,48 West 68th Street at Studio Maestro,"New York,",NY,10023
Zen and Yoga,"107-21 71st Avenue, 2nd Floor","Forest Hills,",NY,11375
Back Bay Boxing Gym and Fitness,350 Newbury Street,"Boston,",MA,02115
Back Bay Fitness,Arlington - 180 Massachusetts Avenue (See Class Descriptions),"Arlington,",MA,02476
Balance Studio,15 Depot Court,"Cohasset,",MA,02025
Barre & Soul - Cambridge,36 John F. Kennedy Street,"Cambridge,",MA,02138
Barre & Soul - Melrose,Multiple Locations (See Class Titles),"Melrose,",MA,02176
Barre & Soul - Portsmouth,163 Court Street,"Portsmouth,",NH,03801
Beacon Hill Yoga,57 Phillips Street,"Boston,",MA,02114
Beantown Bootcamp,Multiple Locations (See Class Titles),"Boston,",MA,02114
be. In Union Yoga,440 Somerville Ave,"Somerville,",MA,02143
BLUE Barre and Dance Fitness,475 Winter Street,"Waltham,",MA,02451
Borealis Yoga,34 Salem Street 2nd Floor,"Medford,",MA,02155
Boston Body Pilates - Back Bay,14 Newbury St.,"Boston,",MA,02116
Boston Body Pilates - Belmont,448 Common Street,"Belmont,",MA,02478
Boston Body Pilates - Waterfront,34 Commercial Wharf,"Boston,",MA,02110
Boston Fit Body Boot Camp & Body Fits You,24 Cambridge Street,"Charlestown,",MA,02129
Brick Boston,"133 Federal Street, LL","Boston,",MA,02110
Brooklyn Boulders - Somerville,12 Tyler Street,"Somerville,",MA,02143
B/SPOKE Cape House,1 Market Street,"Mashpee,",MA,02649
B/SPOKE Studios - Boston,"101 Federal Street, B/SPOKE Studios","Boston,",MA,02110
B/SPOKE Studios - Wellesley,"50 Central Street, B/SPOKE Studios","Wellesley,",MA,02482
BURN Back Bay,"867 Boylston Street, Suite 200","Boston,",MA,02116
BURN South End,547 Columbus Avenue,"Boston,",MA,02118
C2 Pilates & BeatBarre - Boston,844 Summer street,"Boston,",MA,02127
Cardio Sport,182 Summer St.,"Kingston,",MA,02364
Charlestown Cycling Club,20 City Square,"Charlestown,",MA,02129
Commit 2B Fit Studio,1284 Washington Street,"Weymouth,",MA,02189
Commonwealth Sports Club,1079 Commonwealth Avenue,"Boston,",MA,02215
CrossFit Southie,385 Dorchester Ave,"Boston,",MA,02127
DanceFIT Studio,721 Worcester Road,"Natick ,",MA,01760
Endurance Pilates and Yoga,1636 Washington Street,"Boston,",MA,02118
